#Excl.     Incl.     Excl. L1    Excl. L1  Excl. L2  Excl. L2   Name
#Total     Total     D-cache     D-cache   Cache     Cache
#CPU sec.  CPU sec.  Hits        Misses    Hits      Misses
1.401     1.401     2912918327  118437043  118437041  0          matmult_mnk
1.001     1.011     2492497162  0          0          0          matmult_mkn
1.391     1.401     2972978521  6402005    6402003    0          matmult_nmk
1.521     1.531     4814823866  131241047  128040043  0          matmult_nkm
0.991     1.001     2452457048  9603006    9603003    0          matmult_kmn
1.491     1.491     4854863958  118437043  118437041  0          matmult_knm
0.        0.290             0        0         0      0          matmult_lib



